ID,Station,DateTimeET,Parameter,Depth_m,FinalResult,Units,Probe_Type,UniqueID,DataSource,DataSourceID,ImportDate
103,302,2025-01-10T13:21:00Z,Dissolved Oxygen,-0.055,12.35,mg/L,YSI_EXO2,302_2025-01-10 13:21_-0.055_LDOd_4,HoldingPond_profiles_2025.xlsx_302_10Jan,3,2025-08-08
104,302,2025-01-10T13:21:00Z,Specific Conductance,-0.055,76.1,uS/cm,YSI_EXO2,302_2025-01-10 13:21_-0.055_SPCD_4,HoldingPond_profiles_2025.xlsx_302_10Jan,4,2025-08-08
105,302,2025-01-10T13:21:00Z,pH,-0.055,6.38,pH,YSI_EXO2,302_2025-01-10 13:21_-0.055_pH_4,HoldingPond_profiles_2025.xlsx_302_10Jan,5,2025-08-08
106,302,2025-01-10T13:21:00Z,Turbidity FNU,-0.055,0.66,FNU,YSI_EXO2,302_2025-01-10 13:21_-0.055_TUR-FNU_4,HoldingPond_profiles_2025.xlsx_302_10Jan,6,2025-08-08
107,302,2025-01-10T13:21:00Z,Blue Green Algae RFU,-0.055,0.73,RFU,YSI_EXO2,302_2025-01-10 13:21_-0.055_BGA-PC-RFU_4,HoldingPond_profiles_2025.xlsx_302_10Jan,7,2025-08-08
108,302,2025-01-10T13:21:00Z,Blue Green Algae,-0.055,0.75,ug/L,YSI_EXO2,302_2025-01-10 13:21_-0.055_BGA-PC_4,HoldingPond_profiles_2025.xlsx_302_10Jan,8,2025-08-08
109,302,2025-01-10T13:21:00Z,Chlorophyll RFU,-0.055,0.72,RFU,YSI_EXO2,302_2025-01-10 13:21_-0.055_Chl-RFU_4,HoldingPond_profiles_2025.xlsx_302_10Jan,9,2025-08-08
110,302,2025-01-10T13:21:00Z,Chlorophyll,-0.055,2.94,ug/L,YSI_EXO2,302_2025-01-10 13:21_-0.055_Chl_4,HoldingPond_profiles_2025.xlsx_302_10Jan,10,2025-08-08
111,302,2025-01-10T13:22:00Z,Water Temperature,-0.043,3.066,Deg-C,YSI_EXO2,302_2025-01-10 13:22_-0.043_TWA-C_4,HoldingPond_profiles_2025.xlsx_302_10Jan,11,2025-08-08
112,302,2025-01-10T13:22:00Z,Oxygen Saturation,-0.043,91.8,%,YSI_EXO2,302_2025-01-10 13:22_-0.043_LDOs_4,HoldingPond_profiles_2025.xlsx_302_10Jan,12,2025-08-08
113,302,2025-01-10T13:22:00Z,Dissolved Oxygen,-0.043,12.34,mg/L,YSI_EXO2,302_2025-01-10 13:22_-0.043_LDOd_4,HoldingPond_profiles_2025.xlsx_302_10Jan,13,2025-08-08
114,302,2025-01-10T13:22:00Z,Specific Conductance,-0.043,76.2,uS/cm,YSI_EXO2,302_2025-01-10 13:22_-0.043_SPCD_4,HoldingPond_profiles_2025.xlsx_302_10Jan,14,2025-08-08
115,302,2025-01-10T13:22:00Z,pH,-0.043,6.15,pH,YSI_EXO2,302_2025-01-10 13:22_-0.043_pH_4,HoldingPond_profiles_2025.xlsx_302_10Jan,15,2025-08-08
116,302,2025-01-10T13:22:00Z,Turbidity FNU,-0.043,0.67,FNU,YSI_EXO2,302_2025-01-10 13:22_-0.043_TUR-FNU_4,HoldingPond_profiles_2025.xlsx_302_10Jan,16,2025-08-08
117,302,2025-01-10T13:22:00Z,Blue Green Algae RFU,-0.043,0.72,RFU,YSI_EXO2,302_2025-01-10 13:22_-0.043_BGA-PC-RFU_4,HoldingPond_profiles_2025.xlsx_302_10Jan,17,2025-08-08
118,302,2025-01-10T13:22:00Z,Blue Green Algae,-0.043,0.74,ug/L,YSI_EXO2,302_2025-01-10 13:22_-0.043_BGA-PC_4,HoldingPond_profiles_2025.xlsx_302_10Jan,18,2025-08-08
119,302,2025-01-10T13:22:00Z,Chlorophyll RFU,-0.043,0.69,RFU,YSI_EXO2,302_2025-01-10 13:22_-0.043_Chl-RFU_4,HoldingPond_profiles_2025.xlsx_302_10Jan,19,2025-08-08
120,302,2025-01-10T13:22:00Z,Chlorophyll,-0.043,2.84,ug/L,YSI_EXO2,302_2025-01-10 13:22_-0.043_Chl_4,HoldingPond_profiles_2025.xlsx_302_10Jan,20,2025-08-08
251,301,2025-05-15T13:25:00Z,Water Temperature,0.476,18.08,Deg-C,YSI_EXO2,301_2025-05-15 13:25_0.476_TWA-C_4,HoldingPond_profiles_2025.xlsx_301_15May,1,2025-08-08
252,301,2025-05-15T13:25:00Z,Oxygen Saturation,0.476,99.8,%,YSI_EXO2,301_2025-05-15 13:25_0.476_LDOs_4,HoldingPond_profiles_2025.xlsx_301_15May,2,2025-08-08
253,301,2025-05-15T13:25:00Z,Dissolved Oxygen,0.476,9.43,mg/L,YSI_EXO2,301_2025-05-15 13:25_0.476_LDOd_4,HoldingPond_profiles_2025.xlsx_301_15May,3,2025-08-08
254,301,2025-05-15T13:25:00Z,Specific Conductance,0.476,59.6,uS/cm,YSI_EXO2,301_2025-05-15 13:25_0.476_SPCD_4,HoldingPond_profiles_2025.xlsx_301_15May,4,2025-08-08
255,301,2025-05-15T13:25:00Z,pH,0.476,6.34,pH,YSI_EXO2,301_2025-05-15 13:25_0.476_pH_4,HoldingPond_profiles_2025.xlsx_301_15May,5,2025-08-08
256,301,2025-05-15T13:25:00Z,Turbidity FNU,0.476,0.79,FNU,YSI_EXO2,301_2025-05-15 13:25_0.476_TUR-FNU_4,HoldingPond_profiles_2025.xlsx_301_15May,6,2025-08-08
